id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9663201,Appartment Eilandje,12007436,Vermeiren,,Eilandje,51.23537,4.41257,Entire home/apt,100,1,1,2016-01-02,0.02,1,0
9709170,Multicultural Antwerp neighbourhood,50128693,Azizi,,Merksem - Heide,51.25185,4.456,Entire home/apt,30,1,15,2016-07-25,0.29,1,0
9750469,Mooi appartement in Deurne,11633503,Herwin,,Deurne Dorp - Gallifort,51.22773,4.46964,Entire home/apt,39,1,0,,,1,0
9790385,Stay in the shoppinghart of Antwerp,2702001,Tom & Carla,,Theaterbuurt-Meir,51.21952,4.41415,Entire home/apt,65,2,261,2020-02-24,4.76,2,323
9809677,Backpackersroom !!,11087865,Rooms Antwerpen,,Universiteitsbuurt,51.22679,4.41105,Private room,34,1,246,2020-06-11,4.48,5,347
9809688,Backpackersroom !!,11087865,Rooms Antwerpen,,Universiteitsbuurt,51.22609,4.40984,Private room,34,1,182,2020-06-19,3.32,5,357
9819102,Charming art deco house with garden,12137647,Jo,,Stadspark,51.20962,4.42297,Entire home/apt,90,5,1,2016-04-05,0.02,1,0
9841738,Cozy apartment in city center,15735758,Agnes,,Stadspark,51.21116,4.41155,Entire home/apt,34,3,12,2019-10-27,0.22,1,0
9854143,A smile is our universal welcome :-),41687451,Irina & Gianpaolo,,Universiteitsbuurt,51.22214,4.4083,Entire home/apt,55,2,91,2020-01-30,1.65,1,0
9871590,Beds in Antwerp City,4261413,Jackie,,Oud - Berchem,51.20128,4.43328,Shared room,44,1,14,2019-10-06,0.27,15,0
9872230,Residential House Antwerp,4261413,Jackie,,Oud - Berchem,51.19986,4.43176,Private room,60,1,0,,,15,365
9894701,"Spacious, cosy flat in the center!",47547451,Tom,,Universiteitsbuurt,51.22085,4.41057,Entire home/apt,70,2,1,2016-01-05,0.02,1,0
9911810,Room Near Mas Museum,11087865,Rooms Antwerpen,,Universiteitsbuurt,51.22558,4.40987,Private room,36,1,278,2020-03-08,5.09,5,361
9913124,Lux Loft in the heart of Historic Antwerp,50969699,Petra,,Historisch Centrum,51.22019,4.40334,Entire home/apt,159,2,157,2020-02-29,2.96,2,356
9920937,Charming appartment in trendy South,51002669,Sophie,,Zuid,51.20937,4.39018,Entire home/apt,75,1,9,2016-08-22,0.17,1,0
10004342,Cosy apartment close to the park,20834836,Frederik,,Nieuw - Kwartier West,51.18098,4.42446,Entire home/apt,45,3,6,2016-04-20,0.11,1,0
10015096,2 slpk appartement op toplocatie,51433236,Tinne,,Theaterbuurt-Meir,51.21225,4.40518,Entire home/apt,78,2,159,2020-03-08,3.00,1,168
10050755,Hofje- Oranje kamer (Historisch centrum),17189644,Irene,,Universiteitsbuurt,51.2246,4.41303,Hotel room,65,1,68,2020-02-09,1.24,2,354
10170353,101､Antwerp central station's charming apartment,52106350,Jackie,,Amandus - Atheneum,51.21851,4.42561,Entire home/apt,160,2,117,2020-03-02,2.22,6,173
10172878,Arty Penthouse Great View & Terrace,7980790,John,,Borgerhout Intra Muros Zuid,51.20985,4.42966,Entire home/apt,54,2,70,2020-04-01,1.39,1,279
10196951,Quiet stay in double room in the center of Antwerp,22962538,Roze,,Stuivenberg,51.22232,4.43674,Private room,25,1,17,2019-08-31,0.39,2,365
